origin,destination,flight_no,airline,operating_flight_no,operating_airline,scheduled_time,status,date,cargo
ORD,LAF,UA 5048,UAL,OO 5048,SKW,2025-11-24 21:09:00,Arr 2244,2025-11-24,False
IAH,PIB,UA 5049,UAL,OO 5049,SKW,2025-11-24 08:00:00,Arr 1026 (+64min),2025-11-24,False
DEN,PRC,UA 5050,UAL,OO 5050,SKW,2025-11-24 20:30:00,Arr 2202,2025-11-24,False
ATY,DEN,UA 5051,UAL,OO 5051,SKW,2025-11-24 18:35:00,Arr 1928,2025-11-24,False
DEN,HYS,UA 5052,UAL,OO 5052,SKW,2025-11-24 21:05:00,Arr 2301,2025-11-24,False
DEN,DVL,UA 5053,UAL,OO 5053,SKW,2025-11-24 13:45:00,Arr 1630,2025-11-24,False
DVL,DEN,UA 5053,UAL,OO 5053,SKW,2025-11-24 11:30:00,Arr 1220,2025-11-24,False
DEN,SGU,UA 5054,UAL,OO 5054,SKW,2025-11-24 08:15:00,Arr 0948,2025-11-24,False
DEN,GCC,UA 5055,UAL,OO 5055,SKW,2025-11-24 12:14:00,Arr 1319,2025-11-24,False
EAR,DEN,UA 5057,UAL,OO 5057,SKW,2025-11-24 06:25:00,Arr 0624,2025-11-24,False
VCT,IAH,UA 5058,UAL,OO 5058,SKW,2025-11-24 05:30:00,Arr 0555,2025-11-24,False
DEN,EAR,UA 5059,UAL,OO 5059,SKW,2025-11-24 20:45:00,Arr 2253,2025-11-24,False
PIR,DEN,UA 5060,UAL,OO 5060,SKW,2025-11-24 06:15:00,Arr 0625,2025-11-24,False
IAD,MGW,UA 5061,UAL,OO 5061,SKW,2025-11-24 08:42:00,Arr 0955 (+6min),2025-11-24,False
PIB,IAH,UA 5062,UAL,OO 5062,SKW,2025-11-24 15:15:00,Arr 1651,2025-11-24,False
ORD,CMX,UA 5063,UAL,OO 5063,SKW,2025-11-24 11:40:00,Arr 1358,2025-11-24,False
DEC,ORD,UA 5064,UAL,OO 5064,SKW,2025-11-24 19:08:00,Arr 2009,2025-11-24,False
DEN,DDC,UA 5065,UAL,OO 5065,SKW,2025-11-24 16:20:00,Arr 1843 (+9min),2025-11-24,False
LAX,PRC,UA 5066,UAL,OO 5066,SKW,2025-11-24 13:45:00,Arr 1551,2025-11-24,False
PRC,DEN,UA 5066,UAL,OO 5066,SKW,2025-11-24 17:45:00,Arr 1924,2025-11-24,False
ORD,DEC,UA 5067,UAL,OO 5067,SKW,2025-11-24 16:50:00,Arr 1802 (+10min),2025-11-24,False
IAH,MEI,UA 5068,UAL,OO 5068,SKW,2025-11-24 18:50:00,Arr 2105 (+43min),2025-11-24,False
VCT,IAH,UA 5068,UAL,OO 5068,SKW,2025-11-24 16:26:00,Arr 1811 (+52min),2025-11-24,False
SLN,IAH,UA 5069,UAL,OO 5069,SKW,2025-11-24 11:40:00,Arr 1433 (+42min),2025-11-24,False
ORD,LAF,UA 5070,UAL,OO 5070,SKW,2025-11-24 12:11:00,Arr 1349,2025-11-24,False
SUX,ORD,UA 5071,UAL,OO 5071,SKW,2025-11-24 07:45:00,Arr 0950 (+18min),2025-11-24,False
BFF,DEN,UA 5072,UAL,OO 5072,SKW,2025-11-24 10:20:00,Arr 1130,2025-11-24,False
DEN,BFF,UA 5072,UAL,OO 5072,SKW,2025-11-24 07:50:00,Arr 0840,2025-11-24,False
IAH,VCT,UA 5073,UAL,OO 5073,SKW,2025-11-24 14:31:00,Arr 1607 (+36min),2025-11-24,False
MEI,IAH,UA 5073,UAL,OO 5073,SKW,2025-11-24 09:00:00,Arr 1033,2025-11-24,False
DEN,BFF,UA 5074,UAL,OO 5074,SKW,2025-11-24 16:25:00,Arr 1711,2025-11-24,False
EAR,DEN,UA 5074,UAL,OO 5074,SKW,2025-11-24 15:09:00,Arr 1514,2025-11-24,False
IAH,SLN,UA 5075,UAL,OO 5075,SKW,2025-11-24 18:50:00,Arr 2151 (+52min),2025-11-24,False
MEI,IAH,UA 5075,UAL,OO 5075,SKW,2025-11-24 13:50:00,Arr 1554 (+20min),2025-11-24,False
