origin,destination,flight_no,airline,operating_flight_no,operating_airline,scheduled_time,status,date,cargo
BKK,HKG,HX 776,CRK,HX 776,CRK,2025-12-05 19:40:00,At gate 19:47,2025-12-05,False
BKK,HKG,TK 9220,THY,HX 776,CRK,2025-12-05 19:40:00,At gate 19:47,2025-12-05,False
TPE,HKG,UO 115,HKE,UO 115,HKE,2025-12-05 19:40:00,At gate 19:54,2025-12-05,False
TPE,HKG,CX 5115,CPA,UO 115,HKE,2025-12-05 19:40:00,At gate 19:54,2025-12-05,False
KHH,HKG,CI 935,CAL,CI 935,CAL,2025-12-05 19:45:00,At gate 19:50,2025-12-05,False
KHH,HKG,AE 5215,MDA,CI 935,CAL,2025-12-05 19:45:00,At gate 19:50,2025-12-05,False
CKG,HKG,CX 929,CPA,CX 929,CPA,2025-12-05 19:45:00,At gate 20:26,2025-12-05,False
CKG,HKG,CA 6517,CCA,CX 929,CPA,2025-12-05 19:45:00,At gate 20:26,2025-12-05,False
HAK,HKG,HU 779,CHH,HU 779,CHH,2025-12-05 19:50:00,Cancelled,2025-12-05,False
HAK,HKG,HX 1779,CRK,HU 779,CHH,2025-12-05 19:50:00,Cancelled,2025-12-05,False
NRT,HKG,HB 321,HGB,HB 321,HGB,2025-12-05 19:50:00,At gate 20:08,2025-12-05,False
NRT,HKG,HX 609,CRK,HX 609,CRK,2025-12-05 19:55:00,At gate 20:31,2025-12-05,False
NRT,HKG,TK 9207,THY,HX 609,CRK,2025-12-05 19:55:00,At gate 20:31,2025-12-05,False
PVG,HKG,HX 241,CRK,HX 241,CRK,2025-12-05 20:00:00,At gate 20:47,2025-12-05,False
PVG,HKG,HU 8206,CHH,HX 241,CRK,2025-12-05 20:00:00,At gate 20:47,2025-12-05,False
DNH,HKG,HB 8953,HGB,HB 8953,HGB,2025-12-05 20:00:00,Cancelled,2025-12-05,False
NRT,HKG,UO 849,HKE,UO 849,HKE,2025-12-05 20:00:00,At gate 20:21,2025-12-05,False
NRT,HKG,CX 5849,CPA,UO 849,HKE,2025-12-05 20:00:00,At gate 20:21,2025-12-05,False
TPE,HKG,BR 857,EVA,BR 857,EVA,2025-12-05 20:05:00,At gate 20:29,2025-12-05,False
TPE,HKG,HX 1833,CRK,BR 857,EVA,2025-12-05 20:05:00,At gate 20:29,2025-12-05,False
TPE,HKG,CI 923,CAL,CI 923,CAL,2025-12-05 20:10:00,At gate 20:16,2025-12-05,False
HKT,HKG,HX 742,CRK,HX 742,CRK,2025-12-05 20:10:00,At gate 20:35,2025-12-05,False
HND,HKG,CX 549,CPA,CX 549,CPA,2025-12-05 20:15:00,At gate 20:16,2025-12-05,False
HND,HKG,JL 7039,JAL,CX 549,CPA,2025-12-05 20:15:00,At gate 20:16,2025-12-05,False
HND,HKG,QR 5843,QTR,CX 549,CPA,2025-12-05 20:15:00,At gate 20:16,2025-12-05,False
PEN,HKG,UO 787,HKE,UO 787,HKE,2025-12-05 20:15:00,At gate 20:42,2025-12-05,False
PEN,HKG,CX 5787,CPA,UO 787,HKE,2025-12-05 20:15:00,At gate 20:42,2025-12-05,False
MNL,HKG,5J 114,CEB,5J 114,CEB,2025-12-05 20:20:00,At gate 20:53,2025-12-05,False
BKK,HKG,UO 701,HKE,UO 701,HKE,2025-12-05 20:20:00,At gate 21:01,2025-12-05,False
BKK,HKG,CX 5701,CPA,UO 701,HKE,2025-12-05 20:20:00,At gate 21:01,2025-12-05,False
KIX,HKG,CX 561,CPA,CX 561,CPA,2025-12-05 20:25:00,At gate 20:34,2025-12-05,False
KIX,HKG,JL 7027,JAL,CX 561,CPA,2025-12-05 20:25:00,At gate 20:34,2025-12-05,False
